#ALMAQUEST spaxel data for SF galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#Sigma_H2 Sigma_SM Sigma_SFR
2.752000093460083 23.28499984741211 0.01955779269337654
2.3980000019073486 23.875 0.018665742129087448
1.6970000267028809 23.90999984741211 0.019456805661320686
3.8489999771118164 23.28499984741211 0.018749898299574852
3.740000009536743 23.875 0.01849743165075779
3.3510000705718994 24.93000030517578 0.019069690257310867
2.9089999198913574 24.93000030517578 0.01891821064054966
2.680000066757202 23.90999984741211 0.016476010903716087
2.865999937057495 22.71500015258789 0.01217396929860115
3.4560000896453857 20.614999771118164 0.009866418316960335
4.15500020980835 15.71500015258789 0.008971001952886581
4.546000003814697 14.600000381469727 0.011367757804691792
4.408999919891357 6.134999752044678 0.01111024059355259
3.8569998741149902 19.3799991607666 0.010044828988611698
3.128000020980835 19.93000030517578 0.005902683362364769
2.3320000171661377 19.264999389648438 0.0060507976450026035
2.25600004196167 23.239999771118164 0.015094174072146416
3.322000026702881 14.859999656677246 0.024623969569802284
4.247000217437744 26.469999313354492 0.0030380222015082836
4.680999755859375 18.405000686645508 0.024876436218619347
4.572000026702881 25.19499969482422 0.021897323429584503
4.238999843597412 26.514999389648438 0.021729011088609695
4.158999919891357 27.18000030517578 0.020079558715224266
4.691999912261963 31.225000381469727 0.02018054574728012
5.90500020980835 25.66499900817871 0.014991502277553082
7.491000175476074 25.354999542236328 0.016982628032565117
8.815999984741211 24.65999984741211 0.019170677289366722
9.241000175476074 23.53999900817871 0.022132959216833115
8.559000015258789 22.979999542236328 0.01848059892654419
7.127999782562256 20.34000015258789 0.01933898963034153
5.541999816894531 30.8700008392334 0.014974672347307205
4.178999900817871 29.450000762939453 0.00894238892942667
3.078000068664551 5.909999847412109 0.0073164994828403
2.135999917984009 5.539999961853027 0.0036203800700604916
2.2829999923706055 19.360000610351562 0.017100445926189423
3.5269999504089355 14.859999656677246 0.01081232912838459
4.579999923706055 16.16499900817871 0.017319250851869583
5.080999851226807 25.53499984741211 0.024001216515898705
5.039999961853027 20.19499969482422 0.02642490155994892
4.9029998779296875 37.474998474121094 0.02809118665754795
5.265999794006348 39.8849983215332 0.02580214850604534
6.53000020980835 37.51499938964844 0.018413275480270386
8.696000099182129 37.51499938964844 0.021038934588432312
11.279999732971191 36.97999954223633 0.022839868441224098
13.390000343322754 23.55500030517578 0.027468431740999222
14.170000076293945 40.92499923706055 0.036893874406814575
13.300000190734863 52.0 0.036691904067993164
11.279999732971191 47.880001068115234 0.030632689595222473
8.95300006866455 47.709999084472656 0.022099297493696213
6.98799991607666 42.10499954223633 0.01686481013894081
5.563000202178955 20.815000534057617 0.007636291440576315
4.48799991607666 20.030000686645508 0.006936115678399801
3.5299999713897705 25.600000381469727 0.007082546595484018
2.628999948501587 25.600000381469727 0.0063705891370773315
1.8600000143051147 25.020000457763672 0.006634838879108429
1.8849999904632568 15.850000381469727 0.004403028171509504
1.9229999780654907 14.460000038146973 0.004234716761857271
2.2249999046325684 19.354999542236328 0.018345952033996582
3.5369999408721924 14.765000343322754 0.018783561885356903
4.543000221252441 16.16499900817871 0.02204880304634571
4.982999801635742 22.475000381469727 0.026694200932979584
4.982999801635742 29.844999313354492 0.02767040766775608
5.057000160217285 32.7400016784668 0.032753411680459976
5.803999900817871 35.560001373291016 0.03098614141345024
7.591000080108643 45.14500045776367 0.026458565145730972
10.380000114440918 45.310001373291016 0.024438826367259026
13.649999618530273 57.70000076293945 0.03098614141345024
16.459999084472656 45.064998626708984 0.03943537920713425
17.860000610351562 42.439998626708984 0.04557874798774719
17.440000534057617 44.75 0.04556191712617874
15.569999694824219 40.60499954223633 0.04091652110219002
13.119999885559082 58.29999923706055 0.032096996903419495
10.890000343322754 54.20000076293945 0.017605379223823547
9.232000350952148 52.95000076293945 0.009841172024607658
7.991000175476074 60.0 0.009913546033203602
6.824999809265137 57.70000076293945 0.00842062383890152
5.565000057220459 44.6150016784668 0.008758929558098316
4.317999839782715 43.38999938964844 0.009494449943304062
3.2699999809265137 27.719999313354492 0.010517784394323826
2.4779999256134033 26.225000381469727 0.011462012305855751
1.9149999618530273 15.914999961853027 0.013358881697058678
1.6380000114440918 14.59000015258789 0.013241063803434372
1.7710000276565552 21.28999900817871 0.008511511608958244
2.2669999599456787 21.68000030517578 0.00764302397146821
2.7679998874664307 19.81999969482422 0.005126767326146364
2.7909998893737793 15.90999984741211 0.0039048262406140566
2.118000030517578 13.225000381469727 0.004414809867739677
2.13700008392334 22.954999923706055 0.014611119404435158
3.4779999256134033 20.1299991607666 0.012672170996665955
4.374000072479248 22.274999618530273 0.016696497797966003
4.670000076293945 16.350000381469727 0.022486412897706032
4.609000205993652 25.440000534057617 0.03184453397989273
4.738999843597412 44.78499984741211 0.035210758447647095
5.618000030517578 49.935001373291016 0.03436920419335365
7.545000076293945 39.06999969482422 0.030514871701598167
10.460000038146973 44.1150016784668 0.03218115493655205
13.899999618530273 43.94499969482422 0.03507611155509949
17.09000015258789 66.0999984741211 0.047665808349847794
19.200000762939453 61.70000076293945 0.052277546375989914
19.760000228881836 62.900001525878906 0.05411214008927345
18.889999389648438 75.0999984741211 0.050190482288599014
17.18000030517578 67.5 0.04113532602787018
15.350000381469727 64.4000015258789 0.026239758357405663
13.859999656677246 61.349998474121094 0.017150938510894775
12.670000076293945 64.6500015258789 0.014587555080652237
11.4399995803833 66.9000015258789 0.013279775157570839
