#ALMAQUEST spaxel data for green valley galaxies
#data has been converted from Salpeter to a Chabrier IMF
#Sigma_H2 and Sigma_SM have units of Msun/pc^2, while Sigma_SFR has units of Msun/yr/kpc^2
#log10(Sigma_H2) log10(Sigma_SM) log10(Sigma_SFR)
639599994.0 -6.284749996497254 0.22611372803930768
445099994.0 -6.282579996271949 0.22611372812730762
403799994.0 -6.282989996134262 0.2261137282483076
401699994.0 -6.285569995290558 0.22611372839730765
223099994.0 -6.289309995829086 0.22611372843730765
185499994.0 -6.292244995593052 0.22611372831130766
154799994.0 -6.2939459957396195 0.2261137281493077
109899994.0 -6.296541995483409 0.22611372782900768
121699994.0 -6.297741995773237 0.22611372782160766
115999994.0 -6.298589995711069 0.22611372802230761
58169994.0 -6.29952499561287 0.22611372751640768
158599994.0 -6.299336995694745 0.22611372738750765
196599994.0 -6.299068995633121 0.22611372739820768
254699994.0 -6.2966859956485735 0.22611372782400768
292099994.0 -6.295420995562296 0.22611372792860768
392899994.0 -6.296012995879124 0.22611372767950766
453599994.0 -6.296048995687585 0.2261137275557077
566700026.0 -6.296019995699595 0.22611372747360767
568700026.0 -6.295668995588045 0.22611372743390767
600199994.0 -6.294677995725493 0.22611372745060768
674199994.0 -6.294179995658766 0.22611372745790767
674199994.0 -6.29329999547727 0.22611372753510767
656700026.0 -6.292793995349626 0.22611372762220766
637999994.0 -6.290929996057372 0.22611372778030764
540399994.0 -6.289039996101479 0.22611372784200767
521899994.0 -6.2870799960782335 0.22611372787170764
624099962.0 -6.284329996093135 0.2261137280283077
566499962.0 -6.28156999556623 0.22611372837630767
426699994.0 -6.283639995961408 0.22611372860430762
358099994.0 -6.28874999529026 0.22611372849630768
196199994.0 -6.2923409953927205 0.2261137282383076
201899994.0 -6.293351995873223 0.2261137281793077
135799994.0 -6.2962319954512225 0.22611372787670764
90649994.0 -6.298164995734538 0.22611372777990768
57479994.0 -6.299872995701577 0.22611372742160765
128999994.0 -6.298886995644267 0.22611372744470767
155799994.0 -6.298548995631705 0.22611372743270766
251799994.0 -6.29848299559481 0.22611372745300767
277099994.0 -6.297533995586406 0.22611372762910764
469299994.0 -6.2924429957037376 0.2261137283193077
372399994.0 -6.293383995651226 0.22611372791030765
562199994.0 -6.294524995724629 0.22611372761680765
610199994.0 -6.295546995590399 0.22611372744080765
701999994.0 -6.295550995620857 0.22611372738550767
825100026.0 -6.2957969956313775 0.22611372733100765
825100026.0 -6.295680995679419 0.22611372732010768
825500026.0 -6.29437099548332 0.22611372740580765
740700026.0 -6.293783995437394 0.22611372747820768
677100026.0 -6.2946649958593355 0.22611372744600766
676799994.0 -6.292288995928089 0.22611372759180765
645900026.0 -6.2890799954747365 0.22611372776150768
622799994.0 -6.285439995697658 0.22611372800860768
538399994.0 -6.281979995428543 0.2261137284203077
344899994.0 -6.283739995791535 0.22611372863430762
294799994.0 -6.287739995515864 0.22611372856930761
166499994.0 -6.293267995699267 0.2261137280383077
105599994.0 -6.295704995862167 0.22611372779460764
175799994.0 -6.296701995770405 0.22611372784200767
90649994.0 -6.298295995567884 0.22611372796560764
83669994.0 -6.299159995627548 0.22611372741010766
143799994.0 -6.298991995745297 0.22611372732610766
167399994.0 -6.2990579955493615 0.22611372729440765
254999994.0 -6.298418995573144 0.22611372740740765
432599994.0 -6.295065995885949 0.22611372792380768
449299994.0 -6.293271995729725 0.2261137280173076
650199994.0 -6.2931559957777665 0.22611372780180766
782300026.0 -6.294518995678942 0.22611372753630765
1139999994.0 -6.295659995752345 0.22611372738220767
1212999930.0 -6.295761995597701 0.22611372733430765
1469999994.0 -6.295070995691191 0.22611372734280766
1400999930.0 -6.2941239956980155 0.22611372737680765
1247000058.0 -6.2947479957928465 0.22611372735240767
1269999994.0 -6.2932369956960486 0.22611372747310765
918199994.0 -6.296036995596211 0.22611372733220766
814599994.0 -6.293217995784204 0.22611372752150766
542499962.0 -6.29233399557225 0.22611372757010767
452799994.0 -6.28772999590538 0.22611372789570766
539999994.0 -6.285099994971375 0.22611372821230763
344899994.0 -6.286039995609741 0.22611372836330762
296699994.0 -6.290389995670836 0.2261137281293077
261299994.0 -6.29460799565814 0.22611372775980765
138099994.0 -6.2958879956258045 0.22611372771500765
175099994.0 -6.297672995713498 0.22611372769070764
78419994.0 -6.298989995730068 0.22611372764000764
91559994.0 -6.299071995655964 0.22611372736110766
